question_num,question,option_a,option_b,option_c,option_d,correct_answer
1,Яким чином у конституційному праві розуміється доктрина дружнього ставлення до міжнародного права?,Вимагає врахування європейського та міжнародного права при тлумаченні конституції.,Може в деяких випадках призводити до субсидіарного застосування норм Конституції порівняно з міжнародними актами,Ґрунтується на пріоритетному використанні європейського та міжнародного законодавства при тлумаченні Конституції.,"Передбачає дотримання державою взятих на себе міжнародно- правових зобовʼязань при прийнятті Конституції, внесенні до неї змін та доповнень.",Вимагає врахування європейського та міжнародного права при тлумаченні конституції.
2,Розроблено законопроєкт про внесення змін до розділу ІІІ «Вибори. Референдум» Конституції України. Хто із зазначених суб’єктів має право внести його на розгляд до Верховної Ради України?,щонайменше 150 народних депутатів України,Центральна виборча комісія України,Кабінет Міністрів України,щонайменше 300 народних депутатів України,щонайменше 300 народних депутатів України
3,Повідомлення якого з наведених органів про проведення мітингу є необхідною умовою реалізації права на мирні зібрання?,представництва Уповноваженого Верховної Ради України з прав людини,територіального управління національної поліції,окружного адміністративного суду,місцевої державної адміністрації,місцевої державної адміністрації
4,"Який субʼєкт, згідно з Конституцією України, повноважний визначати засади реалізації стратегічного курсу держави на набуття повноправного членства України в НАТО?",Кабінет Міністрів України,Президент України,Верховна Рада України,Рада національної безпеки і оборони України,Верховна Рада України
5,"Інспектор митної служби, здійснюючи митний контроль в пункті пропуску на українсько-румунському кордоні, володіє українською, румунською та англійською мовами. Яку мову має право застосовувати інспектор при здійсненні митного контролю під час перетину іноземцями державного кордону між Румунією та Україною?","Українську, англійську або румунську мову залежно від потреби, так як ними володіє інспектор.","Українську або румунську мову, оскільки митний контроль здійснюється на кордоні з Румунією.",Виключно українську мову як єдину державну мову в Україні.,Виключно англійську мову як мову міжнародного спілкування.,"Українську, англійську або румунську мову залежно від потреби, так як ними володіє інспектор."
6,Указом Президента України затверджено рішення Ради національної безпеки та оборони України «Про затвердження Положення про Державний реєстр санкцій». На кого покладається контроль за виконанням рішення?,Премʼєр-міністра України.,Голову Верховної ради України.,Президента України.,Секретаря Ради національної безпеки і оборони України.,Секретаря Ради національної безпеки і оборони України.
7,"У місті проживає 130569 осіб, із них 122300 є громадянами України. Станом на 1 січня 2023 року кількість виборців у місті становить 75000. Станом на 1 серпня така кількість становить 74900. У день місцевих виборів (27 жовтня) до списків виборців внесено 75427 громадян. За якою виборчою системою повині були бути проведені вибори міського голови (27 жовтня)?",Мажоритарною системою абсолютної більшості.,Мажоритарною системою відносної більшості.,Пропорційною системою із відкритими списками.,Пропорційною системою із закритими списками.,Мажоритарною системою відносної більшості.
8,Що відповідно до Закону України «Про столицю України місто-герой Київ» НЕ належить до системи органів місцевого самоврядування в м. Києві?,Міська рада.,Міський голова.,Районні ради.,Районні адміністрації міської ради.,Районні адміністрації міської ради.
9,"Хто НЕ є субʼєктом, що здійснює обрання (призначення) членів Вищої Ради правосуддя?",З’їзд суддів України.,Президент України.,Вища кваліфікаційна комісія суддів України.,Верховна Рада України.,Вища кваліфікаційна комісія суддів України.
10,"До територіального підрозділу Державної міграційної служби України надійшло звернення щодо припинення громадянства України особи, стосовно якої встановлено факт наявності громадянства російської федерації. Яке рішення має прийняти уповноважений орган у такій ситуації?",Розпочати адміністративну процедуру позбавлення громадянства,Передати матеріали до суду для вирішення питання про позбавлення громадянства,Передати клопотання про позбавлення громадянства на розгляд Президента України,"Відмовити, оскільки позбавлення громадянства України не допускається","Відмовити, оскільки позбавлення громадянства України не допускається"
